"Date","BMRI.JK.Adjusted","JKSE.Adjusted"
2021-01-22,2732.68432617188,6307.126953125
2021-01-25,2770.63842773438,6258.57177734375
2021-01-26,2799.10375976562,6140.1708984375
2021-01-27,2770.63842773438,6109.16796875
2021-01-28,2675.75366210938,5979.38720703125
2021-01-29,2495.47216796875,5862.35205078125
2021-02-01,2542.91479492188,6067.544921875
2021-02-02,2457.5185546875,6043.8408203125
2021-02-03,2467.00659179688,6077.7451171875
2021-02-04,2495.47216796875,6107.2158203125
2021-02-05,2485.98388671875,6151.72900390625
2021-02-08,2495.47216796875,6208.8662109375
2021-02-09,2467.00659179688,6181.671875
2021-02-10,2467.00659179688,6201.828125
2021-02-11,2467.00659179688,6222.52099609375
2021-02-15,2467.00659179688,6270.32421875
2021-02-16,2457.5185546875,6292.39599609375
2021-02-17,2410.07592773438,6227.72802734375
2021-02-18,2372.12182617188,6200.30810546875
2021-02-19,2419.564453125,6231.93212890625
2021-02-22,2419.564453125,6255.31201171875
2021-02-23,2400.58740234375,6272.80712890625
2021-02-24,2419.564453125,6251.05419921875
2021-02-25,2381.61059570312,6289.64599609375
2021-02-26,2334.16796875,6241.7958984375
2021-03-01,2495.47216796875,6338.51318359375
2021-03-02,2504.96069335938,6359.205078125
2021-03-03,2504.96069335938,6376.7568359375
2021-03-04,2485.98388671875,6290.798828125
2021-03-05,2457.5185546875,6258.7490234375
2021-03-08,2438.54125976562,6248.46484375
2021-03-09,2438.54125976562,6199.64697265625
2021-03-10,2467.00659179688,6264.67919921875
2021-03-12,2552.4033203125,6358.208984375
2021-03-15,2523.93774414062,6324.2587890625
2021-03-16,2485.98388671875,6309.69921875
2021-03-17,2476.49536132812,6277.22802734375
2021-03-18,2580.86889648438,6347.8291015625
2021-03-19,2571.38012695312,6356.16015625
2021-03-22,2514.44921875,6301.130859375
2021-03-23,2533.42626953125,6252.7119140625
2021-03-24,2521.75805664062,6156.14013671875
2021-03-25,2511.94580078125,6122.8759765625
2021-03-26,2521.75805664062,6195.56201171875
2021-03-29,2502.1337890625,6166.81787109375
2021-03-30,2482.50903320312,6071.44189453125
2021-03-31,2413.82299804688,5985.52197265625
2021-04-01,2433.447265625,6011.4560546875
2021-04-05,2443.259765625,5970.2861328125
2021-04-06,2462.88427734375,6002.77001953125
2021-04-07,2482.50903320312,6036.6162109375
2021-04-08,2462.88427734375,6071.72412109375
2021-04-09,2541.38256835938,6070.208984375
2021-04-12,2472.69653320312,5948.56884765625
2021-04-13,2472.69653320312,5927.43505859375
2021-04-14,2482.50903320312,6050.27587890625
2021-04-15,2472.69653320312,6079.5009765625
2021-04-16,2472.69653320312,6086.2578125
2021-04-19,2443.259765625,6052.5400390625
2021-04-20,2433.447265625,6038.32177734375
2021-04-21,2404.0107421875,5993.2421875
2021-04-22,2404.0107421875,5994.18408203125
2021-04-23,2413.82299804688,6016.86376953125
2021-04-26,2345.13696289062,5964.82080078125
2021-04-27,2374.57373046875,5959.62109375
2021-04-28,2433.447265625,5974.47900390625
2021-04-29,2443.259765625,6012.9609375
2021-04-30,2423.63525390625,5995.6162109375
2021-05-03,2374.57373046875,5952.59716796875
2021-05-04,2394.19848632812,5963.81982421875
2021-05-05,2374.57373046875,5975.9111328125
2021-05-06,2384.38598632812,5970.240234375
2021-05-07,2335.32446289062,5928.30908203125
2021-05-10,2345.13696289062,5975.787109375
2021-05-11,2315.69995117188,5938.35107421875
2021-05-17,2325.51196289062,5833.85986328125
2021-05-18,2315.69995117188,5834.39404296875
2021-05-19,2227.38940429688,5760.583984375
2021-05-20,2217.5771484375,5797.59716796875
2021-05-21,2286.26318359375,5773.1201171875
2021-05-24,2256.826171875,5763.6318359375
2021-05-25,2315.69995117188,5815.83984375
2021-05-27,2256.826171875,5841.828125
2021-05-28,2276.45068359375,5848.6162109375
2021-05-31,2354.94921875,5947.462890625
2021-06-02,2394.19848632812,6031.578125
2021-06-03,2453.07202148438,6091.51318359375
2021-06-04,2404.0107421875,6065.166015625
2021-06-07,2404.0107421875,6069.93505859375
2021-06-08,2354.94921875,5999.369140625
2021-06-09,2413.82299804688,6047.47509765625
2021-06-10,2433.447265625,6107.5380859375
2021-06-11,2462.88427734375,6095.4970703125
2021-06-14,2462.88427734375,6080.3837890625
2021-06-15,2482.50903320312,6089.0380859375
2021-06-16,2462.88427734375,6078.56787109375
2021-06-17,2433.447265625,6068.44677734375
2021-06-18,2433.447265625,6007.1201171875
2021-06-21,2364.76147460938,5996.2529296875
2021-06-22,2423.63525390625,6087.841796875
2021-06-23,2364.76147460938,6034.54296875
2021-06-24,2345.13696289062,6012.05615234375
2021-06-25,2315.69995117188,6022.39892578125
2021-06-28,2237.20166015625,5939.47119140625
2021-06-29,2266.638671875,5949.0498046875
2021-06-30,2315.69995117188,5985.48876953125
2021-07-01,2345.13696289062,6005.9580078125
2021-07-02,2335.32446289062,6023.0078125
2021-07-05,2296.07568359375,6005.60888671875
2021-07-06,2266.638671875,6047.11083984375
2021-07-07,2256.826171875,6044.037109375
2021-07-08,2315.69995117188,6039.89599609375
2021-07-09,2266.638671875,6039.84423828125
2021-07-12,2276.45068359375,6078.56787109375
2021-07-13,2266.638671875,6012.0322265625
2021-07-14,2237.20166015625,5979.21484375
2021-07-15,2305.88793945312,6046.75390625
2021-07-16,2305.88793945312,6072.509765625
2021-07-19,2256.826171875,6017.39404296875
2021-07-21,2325.51196289062,6029.97607421875
2021-07-22,2374.57373046875,6137.546875
2021-07-23,2345.13696289062,6101.68994140625
2021-07-26,2276.45068359375,6106.39404296875
2021-07-27,2286.26318359375,6097.048828125
2021-07-28,2315.69995117188,6088.52294921875
2021-07-29,2256.826171875,6120.72705078125
2021-07-30,2237.20166015625,6070.0390625
2021-08-02,2227.38940429688,6096.54296875
2021-08-03,2266.638671875,6130.57080078125
